,,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,Scoring,Scoring,Scoring,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,-additional
Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,-9999
1,Justin Jefferson,MIN,WR,23,1,1,0,0,0,0,0,0,0,,0,11,9,184,20.44,2,0,0,2,,,30,39.4,42.4,34.9,22,1,1,JeffJu00
2,Saquon Barkley,NYG,RB,25,1,1,0,0,0,0,0,18,164,9.11,1,7,6,30,5.00,0,1,0,1,1,,27,33.4,36.4,30.4,19,1,2,BarkSa00
3,Patrick Mahomes,KAN,QB,27,1,1,30,39,360,5,0,3,5,1.67,0,0,0,0,,0,1,0,0,,,35,34.9,37.9,34.9,17,1,3,MahoPa00
4,Jonathan Taylor,IND,RB,23,1,1,0,0,0,0,0,31,161,5.19,1,7,4,14,3.50,0,0,0,1,,,24,27.5,30.5,25.5,15,2,4,TaylJo02
5,D'Andre Swift,DET,RB,23,1,1,0,0,0,0,0,15,144,9.60,1,3,3,31,10.33,0,0,0,1,,,24,26.5,29.5,25.0,15,3,5,SwifDA00
6,Josh Allen,BUF,QB,26,1,1,26,31,297,3,2,10,56,5.60,1,0,0,0,,0,0,0,1,,,31,31.5,33.5,33.5,13,2,6,AlleJo02
7,Travis Kelce,KAN,TE,33,1,1,0,0,0,0,0,0,0,,0,9,8,121,15.13,1,0,0,1,,,18,26.1,29.1,22.1,12,1,7,KelcTr00
8,Davante Adams,LVR,WR,30,1,1,0,0,0,0,0,0,0,,0,17,10,141,14.10,1,0,0,1,,,20,30.1,33.1,25.1,12,2,8,AdamDa01
9,Cordarrelle Patterson,ATL,RB,31,1,0,0,0,0,0,0,22,120,5.45,1,5,3,16,5.33,0,0,0,1,,,20,22.6,25.6,21.1,11,4,9,PattCo00
10,Clyde Edwards-Helaire,KAN,RB,23,1,1,0,0,0,0,0,7,42,6.00,0,3,3,32,10.67,2,0,0,2,,,19,22.4,22.4,20.9,11,5,10,EdwaCl00
11,Ja'Marr Chase,CIN,WR,22,1,1,0,0,0,0,0,0,0,,0,16,10,129,12.90,1,0,0,1,,,19,28.9,31.9,23.9,10,3,11,ChasJa00
12,Cooper Kupp,LAR,WR,29,1,1,0,0,0,0,0,0,0,,0,15,13,128,9.85,1,0,0,1,,,19,31.8,34.8,25.3,10,4,12,KuppCo00
13,Kareem Hunt,CLE,RB,27,1,0,0,0,0,0,0,11,46,4.18,1,4,4,24,6.00,1,0,0,2,,,19,23.0,23.0,21.0,10,6,13,HuntKa00
14,Dontrell Hilliard,TEN,RB,27,1,0,0,0,0,0,0,2,8,4.00,0,4,3,61,20.33,2,0,0,2,,,19,21.9,21.9,20.4,10,8,14,HillDo00
15,James Robinson,JAX,RB,24,1,1,0,0,0,0,0,11,66,6.00,1,2,1,3,3.00,1,0,0,2,,,19,19.9,19.9,19.4,10,7,15,RobiJa00
16,O.J. Howard,HOU,TE,28,1,0,0,0,0,0,0,0,0,,0,2,2,38,19.00,2,0,0,2,,,16,17.8,17.8,16.8,10,2,16,HowaO.00
17,Stefon Diggs,BUF,WR,29,1,1,0,0,0,0,0,0,0,,0,9,8,122,15.25,1,0,0,1,,,18,26.2,29.2,22.2,10,5,17,DiggSt00
18,Michael Pittman Jr.,IND,WR,25,1,1,0,0,0,0,0,0,0,,0,13,9,121,13.44,1,0,0,1,,,18,27.1,30.1,22.6,10,6,18,PittMi01
19,Carson Wentz,WAS,QB,30,1,1,27,41,313,4,2,6,12,2.00,0,0,0,0,,0,0,0,0,,1,28,27.7,32.7,29.7,10,3,19,WentCa00
20,Michael Thomas,NOR,WR,29,1,1,0,0,0,0,0,0,0,,0,8,5,57,11.40,2,0,0,2,,,18,22.7,22.7,20.2,9,7,20,ThomMi05
21,Devin Duvernay,BAL,WR,25,1,1,0,0,0,0,0,0,0,,0,4,4,54,13.50,2,0,0,2,,,17,21.4,21.4,19.4,9,8,21,DuveDe00
22,Taysom Hill,NOR,TE,32,1,1,0,0,0,0,0,4,81,20.25,1,1,1,2,2.00,0,0,0,1,,,14,15.3,15.3,14.8,8,3,22,HillTa00
23,Miles Sanders,PHI,RB,25,1,1,0,0,0,0,0,13,96,7.38,1,2,2,9,4.50,0,0,0,1,,,17,18.5,18.5,17.5,8,9,23,SandMi01
24,Jerry Jeudy,DEN,WR,23,1,1,0,0,0,0,0,0,0,,0,7,4,102,25.50,1,0,0,1,,,16,20.2,23.2,18.2,8,10,24,JeudJe00
25,Robbie Anderson,CAR,WR,29,1,1,0,0,0,0,0,0,0,,0,8,5,102,20.40,1,0,0,1,,,16,21.2,24.2,18.7,8,9,25,AndeRo04
26,A.J. Brown,PHI,WR,25,1,1,0,0,0,0,0,0,0,,0,13,10,155,15.50,0,0,0,0,,,16,25.5,28.5,20.5,7,11,26,BrowAJ00
27,Jalen Hurts,PHI,QB,24,1,1,18,32,243,0,0,17,90,5.29,1,0,0,0,,0,0,0,1,,,25,24.7,24.7,24.7,7,4,27,HurtJa00
28,Jahan Dotson,WAS,WR,22,1,1,0,0,0,0,0,1,-10,-10.00,0,5,3,40,13.33,2,0,0,2,,,15,18.0,18.0,16.5,6,12,28,DotsJa00
29,AJ Dillon,GNB,RB,24,1,0,0,0,0,0,0,10,45,4.50,1,6,5,46,9.20,0,0,0,1,,,15,20.1,20.1,17.6,6,10,29,DillAJ00
30,Gabriel Davis,BUF,WR,23,1,1,0,0,0,0,0,0,0,,0,5,4,88,22.00,1,0,0,1,,,15,18.8,18.8,16.8,6,13,30,DaviGa01
31,Jamaal Williams,DET,RB,27,1,0,0,0,0,0,0,11,28,2.55,2,2,1,2,2.00,0,0,0,2,,,15,16.0,16.0,15.5,6,11,31,WillJa06
32,Joe Mixon,CIN,RB,26,1,1,0,0,0,0,0,27,82,3.04,0,9,7,63,9.00,0,0,0,0,,,15,21.5,21.5,18.0,6,12,32,MixoJo00
33,Nick Chubb,CLE,RB,27,1,1,0,0,0,0,0,22,141,6.41,0,1,1,2,2.00,0,0,0,0,,,14,15.3,18.3,14.8,6,13,33,ChubNi00
34,Gerald Everett,LAC,TE,28,1,1,0,0,0,0,0,0,0,,0,4,3,54,18.00,1,0,0,1,,,11,14.4,14.4,12.9,5,4,34,EverGe00
35,Jaylen Waddle,MIA,WR,24,1,1,0,0,0,0,0,1,8,8.00,0,5,4,69,17.25,1,0,0,1,,,14,17.7,17.7,15.7,5,14,35,WaddJa00
36,Justin Herbert,LAC,QB,24,1,1,26,34,279,3,0,4,1,0.25,0,0,0,0,,0,0,0,0,,,23,23.3,23.3,23.3,5,5,36,HerbJu00
37,Leonard Fournette,TAM,RB,27,1,1,0,0,0,0,0,21,127,6.05,0,2,2,10,5.00,0,0,0,0,,,14,15.7,18.7,14.7,5,14,37,FourLe00
38,Mike Evans,TAM,WR,29,1,1,0,0,0,0,0,0,0,,0,7,5,71,14.20,1,0,0,1,,,13,18.1,18.1,15.6,5,16,38,EvanMi00
39,Sterling Shepard,NYG,WR,29,1,0,0,0,0,0,0,0,0,,0,4,2,71,35.50,1,0,0,1,,,13,15.1,15.1,14.1,5,15,39,ShepSt00
40,Will Dissly,SEA,TE,26,1,1,0,0,0,0,0,0,0,,0,3,3,43,14.33,1,0,0,1,,,10,13.3,13.3,11.8,4,5,40,DissWi00
41,Colby Parkinson,SEA,TE,23,1,0,0,0,0,0,0,0,0,,0,2,2,43,21.50,1,0,0,1,,,10,12.3,12.3,11.3,4,6,41,ParkCo02
42,Antonio Gibson,WAS,RB,24,1,1,0,0,0,0,0,14,58,4.14,0,8,7,72,10.29,0,0,0,0,,,13,20.0,20.0,16.5,4,15,42,GibsAn00
43,Amon-Ra St. Brown,DET,WR,23,1,1,0,0,0,0,0,0,0,,0,12,8,64,8.00,1,0,0,1,,,12,20.4,20.4,16.4,4,17,43,StxxAm00
44,DeAndre Carter,LAC,WR,29,1,0,0,0,0,0,0,0,0,,0,4,3,64,21.33,1,0,0,1,,,12,15.4,15.4,13.9,4,18,44,CartDe02
45,Jameis Winston,NOR,QB,28,1,1,23,34,269,2,0,2,9,4.50,0,0,0,0,,0,0,0,0,,1,22,21.7,21.7,21.7,3,6,45,WinsJa00
46,Isiah Pacheco,KAN,RB,22,1,0,0,0,0,0,0,12,62,5.17,1,0,0,0,,0,1,0,1,,,12,12.2,12.2,12.2,3,16,46,PachIs00
47,Rashod Bateman,BAL,WR,23,1,1,0,0,0,0,0,0,0,,0,5,2,59,29.50,1,0,0,1,,,12,13.9,13.9,12.9,3,19,47,BateRa00
48,Zach Ertz,ARI,TE,32,1,1,0,0,0,0,0,0,0,,0,4,2,14,7.00,1,0,0,1,1,,9,11.4,11.4,10.4,3,7,48,ErtzZa00
49,Terry McLaurin,WAS,WR,27,1,1,0,0,0,0,0,0,0,,0,4,2,58,29.00,1,0,0,1,,,12,13.8,13.8,12.8,3,20,49,McLaTe00
50,Christian Kirk,JAX,WR,26,1,1,0,0,0,0,0,0,0,,0,12,6,117,19.50,0,0,0,0,,,12,17.7,20.7,14.7,3,21,50,KirkCh01
51,Christian McCaffrey,CAR,RB,26,1,1,0,0,0,0,0,10,33,3.30,1,4,4,24,6.00,0,0,0,1,,,12,15.7,15.7,13.7,3,17,51,McCaCh01
52,Jarvis Landry,NOR,WR,30,1,1,0,0,0,0,0,0,0,,0,9,7,114,16.29,0,0,0,0,,,11,18.4,21.4,14.9,3,22,52,LandJa00
53,James Conner,ARI,RB,27,1,1,0,0,0,0,0,10,26,2.60,1,6,5,29,5.80,0,1,0,1,,,12,16.5,16.5,14.0,3,18,53,ConnJa00
54,Curtis Samuel,WAS,WR,26,1,0,0,0,0,0,0,4,17,4.25,0,11,8,55,6.88,1,1,1,1,,,11,19.2,20.2,15.2,3,24,54,SamuCu00
55,DJ Chark,DET,WR,26,1,1,0,0,0,0,0,0,0,,0,8,4,52,13.00,1,0,0,1,,,11,15.2,15.2,13.2,3,23,55,CharDJ00
56,Dante Pettis,CHI,WR,27,1,1,0,0,0,0,0,0,0,,0,1,1,51,51.00,1,0,0,1,,,11,12.1,12.1,11.6,3,25,56,PettDa00
57,Kyler Murray,ARI,QB,25,1,1,22,34,193,2,0,5,29,5.80,0,0,0,0,,0,1,0,0,,1,21,20.6,20.6,20.6,2,7,57,MurrKy00
58,Deebo Samuel,SFO,WR,26,1,1,0,0,0,0,0,8,52,6.50,1,8,2,14,7.00,0,1,1,1,,,11,12.6,13.6,11.6,2,26,58,SamuDe00
59,Lamar Jackson,BAL,QB,25,1,1,17,30,213,3,1,6,17,2.83,0,0,0,0,,0,0,0,0,,,20,20.2,21.2,21.2,2,8,59,JackLa00
60,Dalvin Cook,MIN,RB,27,1,1,0,0,0,0,0,20,90,4.50,0,5,3,18,6.00,0,0,0,0,,,11,13.8,13.8,12.3,2,19,60,CookDa01
61,Darren Waller,LVR,TE,30,1,1,0,0,0,0,0,0,0,,0,6,4,79,19.75,0,0,0,0,,,8,11.9,11.9,9.9,2,8,61,WallDa01
62,Marquise Brown,ARI,WR,25,1,1,0,0,0,0,0,0,0,,0,6,4,43,10.75,1,0,0,1,,,10,14.3,14.3,12.3,2,27,62,BrowMa04
63,Marcus Mariota,ATL,QB,29,1,1,20,33,215,0,0,12,72,6.00,1,0,0,0,,0,2,1,1,,,20,19.8,20.8,19.8,2,9,63,MariMa01
64,Khalil Herbert,CHI,RB,24,1,0,0,0,0,0,0,9,45,5.00,1,1,1,-2,-2.00,0,0,0,1,,,10,11.3,11.3,10.8,2,20,64,HerbKh00
65,Pat Freiermuth,PIT,TE,24,1,1,0,0,0,0,0,0,0,,0,10,5,75,15.00,0,0,0,0,,,8,12.5,12.5,10.0,1,9,65,FreiPa00
66,Tyreek Hill,MIA,WR,28,1,1,0,0,0,0,0,1,6,6.00,0,12,8,94,11.75,0,1,0,0,,,10,18.0,18.0,14.0,1,28,66,HillTy00
67,Tyler Conklin,NYJ,TE,27,1,1,0,0,0,0,0,0,0,,0,7,4,14,3.50,1,1,0,1,,,7,11.4,11.4,9.4,1,10,67,ConkTy00
68,Michael Carter,NYJ,RB,23,1,1,0,0,0,0,0,10,60,6.00,0,9,7,40,5.71,0,0,0,0,,,10,17.0,17.0,13.5,1,21,68,CartMi03
69,Ryan Tannehill,TEN,QB,34,1,1,20,33,266,2,0,2,7,3.50,0,0,0,0,,0,0,0,0,,,19,19.3,19.3,19.3,1,10,69,TannRy00
70,Kirk Cousins,MIN,QB,34,1,1,23,32,277,2,0,0,0,,0,0,0,0,,0,0,0,0,,,19,19.1,19.1,19.1,1,11,70,CousKi00
71,Tyler Boyd,CIN,WR,28,1,0,0,0,0,0,0,0,0,,0,7,4,33,8.25,1,0,0,1,,,9,13.3,13.3,11.3,1,29,71,BoydTy00
72,Kenneth Gainwell,PHI,RB,23,1,0,0,0,0,0,0,5,20,4.00,1,4,2,12,6.00,0,0,0,1,,,9,11.2,11.2,10.2,,22,72,GainKe00
73,Dalton Schultz,DAL,TE,26,1,1,0,0,0,0,0,0,0,,0,9,7,62,8.86,0,0,0,0,,,6,13.2,13.2,9.7,,11,73,SchuDa00
74,Julio Jones,TAM,WR,33,1,0,0,0,0,0,0,2,17,8.50,0,5,3,69,23.00,0,0,0,0,,,9,11.6,11.6,10.1,,30,74,JoneJu02
75,Derek Watt,PIT,,30,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,3,75,WattDe00
76,Javonte Williams,DEN,RB,22,1,1,0,0,0,0,0,7,43,6.14,0,12,11,65,5.91,0,1,1,0,,,9,19.8,20.8,14.3,,23,76,WillJa10
77,Chris Myarick,NYG,TE,27,1,1,0,0,0,0,0,0,0,,0,1,1,1,1.00,1,0,0,1,,,6,7.1,7.1,6.6,,13,77,MyarCh00
78,Michael Burton,KAN,,30,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,1,78,BurtMi00
79,Baker Mayfield,CAR,QB,27,1,1,16,27,235,1,1,5,6,1.20,1,0,0,0,,0,4,0,1,,,18,18.0,19.0,19.0,,13,,MayfBa00
80,Joe Burrow,CIN,QB,26,1,1,33,53,338,2,4,6,47,7.83,0,0,0,0,,0,2,1,0,,1,18,18.2,26.2,22.2,,12,,BurrJo01
81,Russell Wilson,DEN,QB,34,1,1,29,42,340,1,0,1,2,2.00,0,0,0,0,,0,0,0,0,,,18,17.8,20.8,17.8,,14,,WilsRu00
82,Geno Smith,SEA,QB,32,1,1,23,28,195,2,0,6,14,2.33,0,0,0,0,,0,1,0,0,,,17,17.2,17.2,17.2,,15,,SmitGe00
83,Jared Goff,DET,QB,28,1,1,21,37,215,2,1,2,9,4.50,0,0,0,0,,0,1,0,0,,,16,15.5,16.5,16.5,,17,,GoffJa00
84,Davis Mills,HOU,QB,24,1,1,23,37,240,2,0,2,-1,-0.50,0,0,0,0,,0,1,1,0,,,16,15.5,16.5,15.5,,18,,MillDa02
85,Daniel Jones,NYG,QB,25,1,1,17,21,188,2,1,6,25,4.17,0,0,0,0,,0,1,1,0,,1,16,16.0,18.0,17.0,,16,,JoneDa05
86,Matt Ryan,IND,QB,37,1,1,32,50,352,1,1,4,12,3.00,0,0,0,0,,0,4,1,0,,,15,15.3,20.3,16.3,,19,,RyanMa00
87,Tua Tagovailoa,MIA,QB,24,1,1,23,33,270,1,0,2,0,0.00,0,0,0,0,,0,1,0,0,,,15,14.8,14.8,14.8,,20,,TagoTu00
88,Justin Fields,CHI,QB,23,1,1,8,17,121,2,1,11,28,2.55,0,0,0,0,,0,0,0,0,,,14,13.6,14.6,14.6,,23,,FielJu00
89,Joe Flacco,NYJ,QB,37,1,1,37,59,307,1,1,1,0,0.00,0,0,0,0,,0,0,0,0,,,14,14.3,18.3,15.3,,21,,FlacJo00
90,Derek Carr,LVR,QB,31,1,1,22,37,295,2,3,0,0,,0,0,0,0,,0,2,0,0,,,14,13.8,16.8,16.8,,22,,CarrDe02
91,Trevor Lawrence,JAX,QB,23,1,1,24,42,275,1,1,2,4,2.00,0,0,0,0,,0,0,0,0,,,13,13.4,14.4,14.4,,24,,LawrTr00
92,Mitchell Trubisky,PIT,QB,28,1,1,21,38,194,1,0,3,9,3.00,0,0,0,0,,0,0,0,0,,,13,12.7,12.7,12.7,,25,,TrubMi00
93,Jacoby Brissett,CLE,QB,30,1,1,18,34,147,1,0,4,10,2.50,0,0,0,0,,0,0,0,0,,,11,10.9,10.9,10.9,,26,,BrisJa00
94,Trey Lance,SFO,QB,22,1,1,13,28,164,0,1,13,54,4.15,0,0,0,0,,0,1,0,0,,,10,10.0,11.0,11.0,,28,,LancTr00
95,Tom Brady,TAM,QB,45,1,1,18,27,212,1,1,2,-1,-0.50,0,0,0,0,,0,0,0,0,,,10,10.4,11.4,11.4,,27,,BradTo00
96,Mac Jones,NWE,QB,24,1,1,21,30,213,1,1,2,0,0.00,0,0,0,0,,0,1,1,0,,,9,8.5,10.5,9.5,,29,,JoneMa05
97,Najee Harris,PIT,RB,24,1,1,0,0,0,0,0,10,23,2.30,0,2,2,3,1.50,1,0,0,1,,,9,10.6,10.6,9.6,,25,,HarrNa00
98,Brandon Bolden,LVR,RB,32,1,0,0,0,0,0,0,3,7,2.33,0,2,2,21,10.50,1,0,0,1,,,9,10.8,10.8,9.8,,24,,BoldBr00
99,Isaiah McKenzie,BUF,WR,27,1,1,0,0,0,0,0,0,0,,0,3,2,19,9.50,1,0,0,1,,,8,9.9,9.9,8.9,,32,,McKeIs00
100,Equanimeous St. Brown,CHI,WR,26,1,1,0,0,0,0,0,0,0,,0,3,1,18,18.00,1,0,0,1,,,8,8.8,8.8,8.3,,33,,St.BEq00
101,Aaron Jones,GNB,RB,28,1,1,0,0,0,0,0,5,49,9.80,0,5,3,27,9.00,0,0,0,0,,,8,10.6,10.6,9.1,,27,,JoneAa00
102,Brandin Cooks,HOU,WR,29,1,1,0,0,0,0,0,0,0,,0,12,7,82,11.71,0,0,0,0,,,8,15.2,15.2,11.7,,31,,CookBr00
103,Mecole Hardman,KAN,WR,24,1,1,0,0,0,0,0,0,0,,0,6,3,16,5.33,1,0,0,1,,,8,10.6,10.6,9.1,,35,,HardMe00
104,Corey Davis,NYJ,WR,27,1,0,0,0,0,0,0,0,0,,0,9,6,77,12.83,0,0,0,0,,,8,13.7,13.7,10.7,,34,,DaviCo03
105,Derrick Henry,TEN,RB,28,1,1,0,0,0,0,0,21,82,3.90,0,1,0,0,,0,1,0,0,,,8,8.2,8.2,8.2,,26,,HenrDe00
106,Matthew Stafford,LAR,QB,34,1,1,29,41,240,1,3,1,2,2.00,0,0,0,0,,0,1,0,0,,,8,7.8,10.8,10.8,,30,,StafMa00
107,Drake London,ATL,WR,21,1,0,0,0,0,0,0,0,0,,0,7,5,74,14.80,0,0,0,0,,,7,12.4,12.4,9.9,,36,,LondDr00
108,Noah Brown,DAL,WR,26,1,1,0,0,0,0,0,0,0,,0,9,5,68,13.60,0,0,0,0,,,7,11.8,11.8,9.3,,39,,BrowNo00
109,Courtland Sutton,DEN,WR,27,1,1,0,0,0,0,0,0,0,,0,7,4,72,18.00,0,0,0,0,,,7,11.2,11.2,9.2,,38,,SuttCo00
110,Rex Burkhead,HOU,RB,32,1,0,0,0,0,0,0,14,40,2.86,0,8,5,30,6.00,0,0,0,0,,,7,12.0,12.0,9.5,,31,,BurkRe00
111,Travis Etienne,JAX,RB,23,1,0,0,0,0,0,0,4,47,11.75,0,4,2,18,9.00,0,1,0,0,,,7,8.5,8.5,7.5,,35,,EtieTr00
112,Zay Jones,JAX,WR,27,1,1,0,0,0,0,0,0,0,,0,9,6,65,10.83,0,0,0,0,,,7,12.5,12.5,9.5,,41,,JoneZa00
113,Chase Edmonds,MIA,RB,26,1,1,0,0,0,0,0,12,25,2.08,0,4,4,40,10.00,0,0,0,0,,,7,10.5,10.5,8.5,,36,,EdmoCh00
114,Ty Montgomery,NWE,WR,29,1,0,0,0,0,0,0,2,-2,-1.00,0,4,3,15,5.00,1,0,0,1,,,7,10.3,10.3,8.8,,37,,MontTy01
115,Boston Scott,PHI,RB,27,1,0,0,0,0,0,0,4,10,2.50,1,0,0,0,,0,0,0,1,,,7,7.0,7.0,7.0,,32,,ScotBo02
116,Josh Jacobs,LVR,RB,24,1,1,0,0,0,0,0,10,57,5.70,0,1,1,16,16.00,0,0,0,0,,,7,8.3,8.3,7.8,,28,,JacoJo01
